German,English
die,the
und,and
der,the
in,in
das,the
den,the
zu,to
mit,With
ist,is
von,of
für,For
auf,on
nicht,Not
es,it
ein,a
im,in the
auch,also
sich,themselves
ich,I
sie,she
eine,a
dem,the
des,of
an,at
als,when
bei,at
sind,are
dass,that
so,so
oder,or
wie,as
aus,out
wir,we
aber,but
wird,becomes
nach,after
man,you
er,he
hat,Has
noch,still
einen,one
nur,just
um,around
am,at the
einer,one
zum,to the
kann,can
einem,one
über,about
war,was
wenn,if
haben,to have
durch,by
dann,then
vor,in front
zur,to
mehr,more
was,What
diese,these
da,there
können,can
schon,beautiful
sein,be
bis,to
wurde,has been
hier,here
sehr,very
wieder,again
immer,always
mir,me
ihre,your
alle,all
dieser,this
doch,but
habe,have
gibt,gives
vom,from
mich,me
unter,under
du,you
ja,Yes
keine,none
gut,Well
damit,in order to
hatte,would have
ganz,all
beim,at the
eines,one
denn,because
muss,got to
nun,now
Zeit,time
seine,his
jetzt,now
etwas,something
gegen,versus
dabei,there
also,so
viel,a lot of
diesem,this
ab,from
viele,lots
zwei,two
anderen,other
ohne,without
alles,everything
sowie,such as
Menschen,People
waren,were
seit,since
einfach,easy
geht,going
Jahr,year
dieses,this
heute,today
sondern,rather
neue,new
wurden,were
Jahren,years
bereits,already
machen,do
sollte,should
ob,if
weil,because
soll,should
ihrer,of their
ihren,their
dazu,to
dies,this
ersten,first
zwischen,between
ihnen,them
bin,am
lassen,to let
andere,other
meine,my
seiner,his
Jahre,years
unsere,our
leben,Life
wer,who
neuen,new
weiter,continue
kommt,coming
müssen,have to
einmal,once
wo,Where
dort,there
erst,first
kein,no
natürlich,Naturally
ihn,him
diesen,this
jedoch,however
konnte,could
ihm,him
würde,would
finden,Find
drei,three
seinen,his
will,want
nichts,Nothing
uhr,Clock
allem,all
sei,be
Euro,Euro
wirklich,for real
ins,in the
steht,stands
kommen,come
daß,that
gerade,straight
Deutschland,Germany
während,while
Tag,Day
allerdings,Indeed
Kinder,children
dafür,for this
wäre,would
welche,Which
Ende,The End
wohl,well
mein,my
einige,some
Weg,path
jeder,everyone
letzten,last
sehen,see
allen,all
weitere,Further
besonders,especially
zwar,though
neben,Next
vielen,a lot of
vielleicht,maybe
beiden,both
Welt,world
ihrem,their
unternehmen,Companies
wollen,want
liegt,lies
Teil,part
seinem,his
stehen,stand
bzw.,or.
fast,nearly
Stadt,city
erste,first
euch,to you
gar,at all
sogar,even
geben,give
deutschen,German
möglich,possible
etwa,approximately
schnell,fast
Seite,page
großen,huge
Frage,question
denen,to those
eigentlich,actually
unserer,our
gehen,walk
gute,quality
Arbeit,job
recht,Law
oft,often
genau,I agree
lange,Long
wenig,little
leider,Unfortunately
hatten,had
davon,from that
Thema,theme
gemacht,made
Fall,case
eigenen,own
dir,to you
könnte,could
unser,our
große,size
zusammen,together
bietet,provides
besser,better
Frau,woman
möchte,would like to
darauf,thereon
gab,gave
Spiel,game
rund,round
Art,kind
gleich,equal
hätte,would have
Platz,place
Prozent,percent
Beispiel,example
sicher,for sure
wissen,knowledge
kleinen,small
paar,pair
de,de
meiner,mine
findet,finds
sagen,say
gerne,with pleasure
deshalb,that's why
zurück,back
jeden,each
sollten,should
statt,instead of
lässt,leaves
Liebe,love
richtig,correct
kleine,small
stellen,put
fragen,ask
deren,their
worden,been
weiß,White
sollen,should
tun,to do
erhalten,receive
wegen,because of
eher,rather
weniger,fewer
direkt,directly
ebenfalls,also
darüber,about that
Informationen,information
nie,never
Bereich,Area
später,later
ganze,whole
dich,you
hin,down
warum,Why
hab,hab
vier,four
nehmen,to take
sieht,looks
geschichte,story
je,ever
Kunden,Customers
keinen,no
werde,will
aller,all
kurz,short
Geld,money
bekommen,to get
Möglichkeit,possibility
nächsten,next
deutlich,clear
außerdem,Furthermore
Frauen,women
arbeiten,work
bleibt,remains
klar,clear
kaum,barely
eben,just
meinen,mean
wollte,wanted to
Ziel,target
Berlin,Berlin
zeigt,shows
Mann,man
Buch,book
rahmen,frame
konnten,could
besten,best
bitte,You're welcome
somit,Consequently
sagt,says
Bild,picture
darf,may
Entwicklung,development
gehört,belongs
pro,Per
zudem,moreover
wichtig,important
Internet,Internet
Wasser,water
spielen,play
bieten,Offer
Tage,days
neu,New
Woche,week
Minuten,minutes
unseren,our
stellt,provides
Verfügung,disposal
bisher,so far
deutsche,German
verschiedenen,different
Land,country
guten,good
Ort,place
schön,beautiful
gegenüber,across from
solche,such
kosten,costs
Form,shape
weit,far
weiteren,more
Wochen,weeks
zweiten,second
musste,had to
Haus,House
dank,thanks
eigene,own
meisten,most
bleiben,stay
insgesamt,all in all
Grund,reason
Problem,problem
besteht,consists
sagte,said
jede,each
nachdem,after this
ebenso,as well
beide,both
anders,different
danach,after that
Familie,family
meinem,my
alten,old
bringen,bring
daran,it
Leute,People
aufgrund,by virtue of
Eltern,parents
gemeinsam,together
sofort,right away
dessen,whose
halten,hold
nutzen,use
Hand,hand
lesen,read
leicht,light
anfang,Beginning
jedem,each
bekannt,known
Hilfe,Help
Blick,view
schließlich,after all
dadurch,thereby
Zukunft,future
Namen,names
sowohl,either
überhaupt,at all
unserem,our
zunächst,first
Stunden,hours
hinter,Behind
hast,have
heißt,is called
Stelle,Job
finde,find
Einsatz,commitment
Team,team
trotz,in spite of
Millionen,millions
insbesondere,especially
gewesen,been
Musik,music
endlich,Finally
sonst,otherwise
weise,wise
per,by
innerhalb,within
Schule,school
fünf,five
zeigen,demonstrate
fest,firmly
ganzen,all
führen,to lead
führt,leads
Artikel,items
stark,strongly
allein,alone
liegen,lie
Personen,people
Mai,May
Seiten,pages
oben,above
trotzdem,Nevertheless
Bilder,pictures
meist,most of time
Film,Movie
Daten,Data
Erfolg,success
würden,would
jedes,each
kind,child
verschiedene,various
Probleme,issues
neues,new
Gott,God
hinaus,out
Abend,Eve
mehrere,several
damals,back then
Preis,price
lernen,learn
beispielsweise,for example
einzelnen,each
Gruppe,group
weiterhin,Farther
deine,yours
nämlich,namely
fand,found
zumindest,at least
Juni,June
Richtung,direction
gesagt,told
hallo,Hi there
Gesellschaft,society
mitarbeiter,Employee
einigen,some
lang,long
schwer,heavy
hoch,high
Programm,program
Augen,eyes
welches,which
dennoch,yet
geworden,become
Rolle,role
wert,value
